A;B;C
Volunteer Drivers Needed for Grocery Shopping Trips;The seniors' center is looking for volunteer drivers to help...;Volunteer drivers needed for weekly grocery shopping trips
The annual community clean-up day is fast approaching.;The annual community clean-up day is fast approaching. Gather at...;Annual community clean-up day is fast approaching
Reminder: Property Taxes Are Due;Reminder: Property taxes are due at the end of the...;Property taxes are due at the end of the month
The city's annual jazz festival;The city's annual jazz festival is looking for volunteers. If...;Annual jazz festival volunteers needed
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...;Keep sidewalks clear of leaves and debris for safety
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...;desperate need of foster homes for kittens
We're starting a community cycling group;We're starting a community cycling group that will meet every...;Starting a community cycling group on Sundays for all ages
I'm a professional photographer offering mini;I'm a professional photographer offering mini photo sessions this weekend...;Professional photographer offering mini photo sessions this weekend in the...
The Neighborhood Association is Looking;The neighborhood association is looking for articles and photos for...;Looking for articles and photos for the community newsletter
The local Veterans Group Charity Raffle;The local veterans' group is organizing a charity raffle to...;support their programs
I'm offering tutoring services for;I'm offering tutoring services for middle and high school students...;offering tutoring services for middle and high school students
Join Us for the annual Tree Planting Day this Sunday;Join us for the annual Tree Planting Day this Sunday...;Join us for the annual Tree Planting Day this Sunday...
CPR and First Aid Training Session This Saturday;There will be a CPR and first aid training session...;CPR and first aid training session at the community center
Please message me if interested.;Please message me if interested....;Message me if interested.
Iâ€™m trying to find a friendly stray cat Iâ€™ve been...;Iâ€™m trying to find a home for a friendly stray...;friendly stray cat I’ve been feeding. She’s very sweet
The annual food drive starts;The annual food drive for the local pantry starts next...;annual food drive for the local pantry starts next week
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...;Neighborhood carpool program initiation. Attend the informational meeting next Thursday.
It has great sentimental value;It has great sentimental value as it was a gift....;It has great sentimental value as it was a gift.
A small drone;Lost: A small drone, last seen flying over Maple Park...;Lost: A small drone, last seen flying over Maple Park
Friendly Dog Found near Elm Street;Friendly dog found near Elm Street. Appears to be a...;Friendly dog found near Elm Street
Community Potluck this Saturday;Reminder: Community potluck this Saturday at 5 PM in the...;Community potluck this Saturday at 5 PM
Looking for volunteers;Looking for volunteers to help with the school fundraiser event...;Looking for volunteers to help with the school fundraiser event
MISSING: Black and white tuxedo, very shy.;Missing cat: Black and white tuxedo, very shy. Last seen...;Last seen near Pine Drive
Join us for our annual Easter Egg Hunt;Join us for our annual Easter egg hunt this Sunday...;Join us for our annual Easter egg hunt this Sunday...
Free Piano Lessons;Free piano lessons offered at the local library every Wednesday....;Free piano lessons offered at the local library every Wednesday
Come and find your treasure;Garage sale this weekend at 45 Oak Avenue. Come and...;Garage sale this weekend at 45 Oak Avenue
Free Yoga Classes Available;Free yoga classes available at the community center. Classes every...;Free yoga classes available at the community center.
Urgent: Volunteers Needed;Urgent: Volunteers needed for the riverside clean-up project this Saturday....;Urgent: Volunteers needed for the riverside clean-up project
Silver locket with a picture inside;Lost: Silver locket with a picture inside, highly sentimental. Lost...;Lost: Silver locket with a picture inside, highly sentimental
Neighborhood watch meeting this Wednesday at 7 PM;Neighborhood watch meeting this Wednesday at 7 PM. Discussing recent...;Neighborhood watch meeting this Wednesday at 7 PM
Found: Set of car keys near the Main Square.;Found: Set of car keys near the Main Square. Please...;Found: Set of car keys near the Main Square
Discussing 'To Kill a Mockingbird';Reminder: Book club meeting tonight at the public library. Discussing...;Discussing 'To Kill a Mockingbird.' New members always welcome.
Request for Old Magazines and Books;Request for old magazines and books for the senior center....;Request for old magazines and books for the senior center
Help Needed: Looking for Someone to Assist;Help needed: Looking for someone to assist with walking dogs...;Help needed: Looking for someone to assist with walking dogs...
Lost: Kidsâ€™ Backpack with Superheroes Design Near Town Playground;Lost: Kidsâ€™ backpack, red with superheroes design, near town playground....;Lost: Kidsâ€™ backpack, red with superheroes design, near town playground
Neighborhood BBQ this Sunday;Neighborhood BBQ this Sunday! Join us at Green Meadow Park...;Neighborhood BBQ this Sunday! Join us at Green Meadow Park
Found: Kidsâ€™ plush toy;Found: Kidsâ€™ plush toy near the community garden. If yours,...;Kidsâ€™ plush toy near the community garden
Substitute Teacher Needed;Substitute teacher needed for community art class. If you have...;Substitute teacher needed for community art class
Lost: Prescription Glasses;Lost: Prescription glasses, black frame, near the downtown cafe last...;Lost: Prescription glasses, black frame, near the downtown cafe last...
Found: Antique Bracelet with Charms;Found: Bracelet with charms, looks antique. Found on Oak Street,...;Found: Bracelet with charms, looks antique.
Community garden plots now available;Community garden plots now available for the spring season. If...;Community garden plots now available for the spring season
Lost: Small notebook, blue cover, with personal notes;Lost: Small notebook, blue cover, with personal notes, near High...;Lost: Small notebook, blue cover, with personal notes, near High...
Moving Assistance Needed This Friday;Help request: Moving assistance needed this Friday from 9 to...;Moving assistance needed this Friday from 9 to noon.
Curbside Pickup Starts Next Week;Curbside pickup for large trash items starts next week. Ensure...;Curbside pickup for large trash items starts
Attention dog owners: A;Attention dog owners: A new dog park is opening next...;A new dog park is opening next week on the...
Our Neighborhood Watch Meeting Concerns Over Vehicle Break-Ins;Our neighborhood watch is organizing a meeting to discuss recent...;Discuss recent concerns about vehicle break-ins
Property taxes are due at the end of the month.;Reminder: Property taxes are due at the end of the...;Property taxes are due at the end of the month
We're looking for local bands;We're looking for local bands to perform at the upcoming...;Local bands wanted for upcoming community festival
The Haunted House Fundraiser is Back;The annual haunted house fundraiser is back! We're looking for...;Annual haunted house fundraiser is back!
New Book Club Alert;New Book Club Alert: Lovers of literature are invited to...;New Book Club Alert: Lovers of literature are invited to...
