A;B;C
The Local Historical Society's Walking Tour;The local historical society is conducting a walking tour of...;Historic downtown walking tour next Saturday
A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel, left on...
If found, please contact me.;It has great sentimental value as it was a gift....;If found, please contact me.
A GoPro Camera Found;Found: A GoPro camera near the trails at Ridgeback Mountain....;Found: A GoPro camera near the trails at Ridgeback Mountain.
The Jazz Ensemble from the Community College;The jazz ensemble from the community college will be performing...;Performing live at the city park this Friday evening
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...;Power outages: Scheduled electrical maintenance this Wednesday from 8 AM...
I've Started A Blog About Our Neighborhood's;I've just started a blog about our neighborhood’s history and...;blog about our neighborhood’s history and architecture
Attention All Pet Owners: A free vaccination clinic for pets;Attention all pet owners: A free vaccination clinic for pets...;Free vaccination clinic for pets at the animal shelter next...
The local volunteer fire department;The local volunteer fire department is hosting an open house...;hosting an open house next weekend. Come tour the station
If anyone needs help setting up;If anyone needs help setting up their new computers or...;offering my services free of charge this month
Join Us for a Night at the Movies in the...;Join us for a night at the movies in the...;Join us for a night at the movies in the...
Don't Miss Out on Great Bargains!;Reminder: The annual neighborhood garage sale is happening this Sunday...;annual neighborhood garage sale is happening this Sunday from 9...
Get Your Sneakers On for Charity Run Next Month!;Get your sneakers on for the charity run next month!...;Get your sneakers on for the charity run next month!
A Meditation and Yoga Session;A meditation and yoga session will be held every Sunday...;Start your week with some peace and tranquility
Mary Johnson to Speak about Latest Book at 4 PM;The local library is introducing 'author of the month' series...;Mary Johnson is the featured author of the month
Lost: A blue and white striped beach towel near lifeguard...;Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
The City Park Department is Looking;The city park department is looking for volunteers to help...;Volunteers needed for planting flowers and cleaning up trails
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...;Desperate need of foster homes for kittens
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...;volunteer drivers needed for weekly grocery shopping trips
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...;Reports of suspicious activities in the neighborhood watch area
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;Winter clothing drive for the homeless shelter downtown
