Subject Line A;Subject Line B
The community college is offering a series of free workshops...;Free Workshops on Financial Literacy
Found: A child's drawing pad with sketches, found on a...;Found: A child's drawing pad with superhero drawings
A reminder that next Saturday is the deadline for registering...; Register for the Community Soccer League
The downtown parking garage will be undergoing renovations starting next...; Parking Garage Renovations
A drone was found in the high school football field...;Drone Found in Football Field
The local senior center is looking for volunteers to help...;Volunteers Needed for Tech Tutoring Sessions
Lost: A silver locket near Cedar Mall, sentimental value, contains...; Lost: Silver Locket
The community theater's costume department is in urgent need of...;Costume Department in Urgent Need of Fabric Donations
Reminder: The quarterly bulk waste collection is scheduled for next...; Quarterly Waste Collection
"The public library is starting a new series called ""Meet..."; Discuss New Book
I'm a professional photographer offering mini photo sessions this weekend...; Photo Sessions in the Park
Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools
The neighborhood park's new playground equipment installation has been completed....; The neighborhood park's playground equipment installation has been completed
Volunteers are needed for the upcoming Winter Festival. If you...; Winter Festival Volunteers Required
Lost: A wristwatch with a blue strap, last seen in...;Lost: A wristwatch with a blue strap
The local garden club is offering a free session on...; Winter gardening in our climate
The town's traffic lights at the intersection of Main and...; Upgrades at Main and Orchard
Reminder: Dog walking is not allowed on the artificial turf...; Keep facilities clean and safe
The community center is hosting a donation drive for school...;Drop off school supplies at the community center
Reminder: The city's annual tree planting event is happening this...; Meet at Greenway Park for tree planting
Found: A small silver bracelet near the bus stop on...;Found: A small silver bracelet
Looking for recommendations for a reliable babysitter in the area....; Reliable Babysitters in the Area
The community library's Wi-Fi will be upgraded this Thursday, leading...; Wi-Fi upgrade this Thursday
The local youth soccer club is looking for sponsors for...;Businesses Needed for Local Youth Soccer Club
Attention bird enthusiasts: Join us for a bird-watching walk through...; Meet at the west entrance
Lost: A pair of prescription sunglasses at Sunset Park. They...; Reward for Lost Sunglasses
The city council is seeking public feedback on the new...;Seeking Public Feedback
Volunteers needed for the community food bank this Friday. We're...; Volunteers needed for food bank
The high school drama club is performing their spring play,...; Spring Play Tickets Now Available
Found: A drone in Thompson Field, likely from a recent...;Found: A drone in Thompson Field
The neighborhood watch program is organizing a safety workshop focused...; Safety Workshop Next Tuesday
The annual book sale at the library is now accepting...; Donate used books to the library
Need a helping hand? I'm available for babysitting or pet...; Ideal for emergency errands
I accidentally ordered two of the same book online. It's...; Book bargain alert
Lost: A small gold earring with a blue gemstone, possibly...; Small gold earring with a blue gemstone
