Subject Line A;Subject Line B
Hey neighbors! Just spotted a set of keys with a...; Keys with Turtle Keychain Lost
I'm trying to get a carpool group together for daily...; Daily Commutes to the City Center
For rent: A small, two-bedroom house near the city park....; House for rent near city park
The city council will be discussing the new public transportation...;City council meeting this Thursday
Calling all photographers! The nature reserve is hosting its annual...; Win Prizes and Be Featured
Garage sale this weekend! We're downsizing and have furniture, tools,...; Downsizing and More
We need more contributors for the community garden blog. If...; We need more contributors for the community garden blog
To the person who helped me jump-start my car near...; Grocery store
The local theatre is seeking donations of costumes and props...;Theatre Seeking Donations
Missing cat: Our beloved Siamese, Luna, has been missing since...;Missing cat since Tuesday
Our local museum is offering free admission this weekend to...; Free Admission This Weekend
A gentle reminder to all residents: Please keep your lawns...; Keep your lawns trimmed and clear of debris
I'm thinking about starting a book club here in town...; Join a book club
A group of us are organizing a community-wide yard sale...; Declutter and Find New Treasures
We are looking for volunteers to help with the senior...;Volunteers Needed for Senior Center Bingo Night
Attention, pet owners! There have been reports of increased tick...; Local Parks Alert
Found a pair of children's glasses near the playground at...;Found a pair of children's glasses near the playground
Notice to all: The bridge on Jefferson Road will be...;The bridge on Jefferson Road will be closed for repairs...
Join us for the community potluck dinner next Friday at...;Join us for the community potluck dinner
Our high school's music department is hosting a car wash...; Music Department Hosting Car Wash
I'm collecting old laptops and tablets to donate to local...; Collecting Electronic Waste
The community health clinic will be offering free health screenings...; Community Health Screenings
Lost dog notice: Our family's black Labrador, Max, wandered off...;Lost dog notice
We're missing a friendly orange tabby cat from our home...;Missing orange tabby cat
Calling all amateur astronomers! Join us for a night of...;Join us for a night of stargazing at Hilltop Park...
The annual river cleanup is happening this weekend. We're looking...; Cleanup this Weekend
If anyone needs help setting up their new computers or...; Free Computer Help This Month
We are forming a new choir group in town and...; Sing Your Heart Out
Found: A set of keys in the parking lot of...; Found: A set of keys in the parking lot
The neighborhood watch group is seeking new members. If you're...; Help Keep Our Community Safe
Volunteers needed for the community garden spring planting day next...; Community garden spring planting day
Reminder: The community pool opens for the season this weekend!...; Summer fun in the sun
If anyone is interested in learning about or discussing sustainable...; Casual Meet-up for Sustainable Living
The downtown art gallery is celebrating its 5th anniversary with...; Join us for downtown art gallery's anniversary celebration
I'm offering lawn mowing services this summer. I have my...; Lawn Mowing Services Now
To anyone who helped push my car out of the...;Thank you for your kindness
Lost cat: Our family's gray tabby, Whiskers, has been missing...;Lost Cat
Our community library is starting a weekend reading program for...;Weekend Reading Program for Kids
Attention cyclists: The city will be adding bike racks at...;Attention Cyclists
Does anyone have experience with rainwater collection systems? I'm looking...; Need advice on setting up a rainwater collection system
Calling all green thumbs! We're looking for guest contributors to...;Calling all green thumbs!
The annual community yard sale is scheduled for next Saturday...; Riverside Park Sale
A reminder that bulk trash pickup is happening next week....; City Services
I found a set of car keys near the coffee...; Found a set of keys with a red key fob
We're starting a community cycling group that will meet every...;All ages and abilities are welcome
I recently moved here and I'm a professional carpenter looking...; Carpenter Services Available
The local theater is holding auditions for its summer production...;Grease Auditions Next Week
If anyone is interested in a weekly knitting and crochet...; Meet Every Wednesday Evening
Our neighborhood watch is organizing a meeting to discuss recent...;Vehicle Break-ins
I'm offering free piano lessons for beginners. I have a...; Piano Lessons for Kids
The local high school's robotics team is hosting a car...; Support Local Students
Lost cat: My grey tabby, Misty, has been missing since...;Lost cat
I'm organizing a book drive to help restock the library...; Books for the Library
The community garden is offering a workshop on organic pest...; Register on Our Website
A black wallet was found in the park near the...;Wallet Found in the Park
