Subject Line A;Subject Line B;Target
Hey Neighbors! Found;Hey neighbors! Just spotted a set of keys with a...;B
I’m trying to get a carpool group;I’m trying to get a carpool group together for daily...;B
For rent: A small, two-bedroom house near the city park....;For rent: A small, two-bedroom house near the city park....;B
City Council to Discuss New Public Transportation Routes and Schedules;The city council will be discussing the new public transportation...;B
Calling all photographers!;Calling all photographers! The nature reserve is hosting its annual...;B
Garage Sale This Weekend!;Garage sale this weekend! We're downsizing and have furniture, tools,...;A
We Need More Contributors for the Community Garden Blog;We need more contributors for the community garden blog. If...;A
Thank you for helping me!;To the person who helped me jump-start my car near...;B
The Local Theatre is Seeking Donations;The local theatre is seeking donations of costumes and props...;A
Our Beloved Siamese Luna Missing;Missing cat: Our beloved Siamese, Luna, has been missing since...;B
Our local museum is offering;Our local museum is offering free admission this weekend to...;A
A Gentle Reminder to All Residents;A gentle reminder to all residents: Please keep your lawns...;B
Thinking about starting a book club;I'm thinking about starting a book club here in town...;B
A community-wide yard sale next month.;A group of us are organizing a community-wide yard sale...;A
We are looking;We are looking for volunteers to help with the senior...;B
Increased tick activity in local parks;Attention, pet owners! There have been reports of increased tick...;A
Found a pair of children's glasses;Found a pair of children's glasses near the playground at...;B
The Bridge on Jefferson Road Will Be Closed;Notice to all: The bridge on Jefferson Road will be...;A
Join us for the community potluck dinner;Join us for the community potluck dinner next Friday at...;B
Car Wash Fundraiser This Saturday;Our high school's music department is hosting a car wash...;A
I'm collecting;I'm collecting old laptops and tablets to donate to local...;A
The Free Health Screenings;The community health clinic will be offering free health screenings...;B
Our family's black Labrador;Lost dog notice: Our family's black Labrador, Max, wandered off...;A
We're Missing a Friendly Orange Tabby Cat;We're missing a friendly orange tabby cat from our home...;B
Calling all Amateur Astronomers;Calling all amateur astronomers! Join us for a night of...;A
The Annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...;B
I'm offering my services free of charge this month;If anyone needs help setting up their new computers or...;B
We are forming a new choir;We are forming a new choir group in town and...;A
Found: A set of keys;Found: A set of keys in the parking lot of...;B
The neighborhood watch group is seeking new members.;The neighborhood watch group is seeking new members. If you're...;B
Volunteers Needed for Community Garden Spring Planting Day;Volunteers needed for the community garden spring planting day next...;A
Community Pool Opens for the Season this Weekend!;Reminder: The community pool opens for the season this weekend!...;B
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...;A
Celebrating its 5th anniversary with an open house next;The downtown art gallery is celebrating its 5th anniversary with...;A
I'm offering lawn mowing services this summer.;I’m offering lawn mowing services this summer. I have my...;B
Thank you So Much;To anyone who helped push my car out of the...;A
Lost Cat Since Monday;Lost cat: Our family's gray tabby, Whiskers, has been missing...;B
Our community library starting weekend reading program;Our community library is starting a weekend reading program for...;B
Attention Cyclists: The City Will Be Adding Bike;Attention cyclists: The city will be adding bike racks at...;A
Does Anyone Have Experience;Does anyone have experience with rainwater collection systems? I'm looking...;B
Calling all green thumbs!;Calling all green thumbs! We're looking for guest contributors to...;B
The Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...;A
Bulk Trash Pickup Happening Next Week;A reminder that bulk trash pickup is happening next week....;A
I Found a Set of Car Keys;I found a set of car keys near the coffee...;B
Starting a Community Cycling Group;We're starting a community cycling group that will meet every...;A
I recently moved here;I recently moved here and I'm a professional carpenter looking...;B
"Auditions for Summer Production of ""Grease""";The local theater is holding auditions for its summer production...;A
I'm trying to get a weekly knitting and crochet group...;If anyone is interested in a weekly knitting and crochet...;B
Organizing a Meeting to Discuss Recent Concerns;Our neighborhood watch is organizing a meeting to discuss recent...;A
I'm offering free piano lessons for beginners.;I'm offering free piano lessons for beginners. I have a...;B
The local high school's robotics team is hosting a car;The local high school's robotics team is hosting a car...;B
Lost Cat: My Grey Tabby;Lost cat: My grey tabby, Misty, has been missing since...;B
I'm organizing a book;I'm organizing a book drive to help restock the library...;B
Organic pest control methods;The community garden is offering a workshop on organic pest...;B
A black wallet was found in the park near the...;A black wallet was found in the park near the...;A
We're looking for local bands to perform;We're looking for local bands to perform at the upcoming...;A
I'd like to give them away;My kids have outgrown their bicycles, and I'd like to...;A
Please keep your dogs;Reminder to all residents: Please keep your dogs on a...;B
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...;A
Found a small drone in Lincoln Park near the playground.;Found a small drone in Lincoln Park near the playground....;B
The city council is hosting a public;The city council is hosting a public forum on the...;B
Anyone Missing a Green Parakeet?;Anyone missing a green parakeet? A little bird has been...;A
The Annual Children's Book Fair;The annual children's book fair will be held at the...;A
I lost a silver bracelet;I lost a silver bracelet somewhere between Park Avenue and...;B
We're planning;We're planning a cleanup day for the community trails system....;A
The local fire department will be conducting a controlled burn;The local fire department will be conducting a controlled burn...;B
The Community Pool Opens for the Season!;Reminder: The community pool opens for the season this weekend!...;B
Please Message Me If;Please message me if interested....;A
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...;B
Celebrating its 5th Anniversary with an Open House;The downtown art gallery is celebrating its 5th anniversary with...;A
The Local Park Now Requires;Reminder for all pet owners: The local park now requires...;B
The city is launching a new lecture;The city library is launching a new lecture series focused...;B
Found a blue USB drive in the community center;Found a blue USB drive in the community center parking...;B
Proper sorting helps reduce waste and keeps our;Reminder: Please adhere to the recycling guidelines posted on our...;A
We Are Starting a Neighborhood Initiative;We are starting a neighborhood initiative to assist the elderly...;B
There's a new art exhibition at the downtown gallery;There's a new art exhibition at the downtown gallery featuring...;A
The Spring Fling Festival;The annual Spring Fling Festival is seeking local vendors. If...;B
Missing: One small drone, last seen flying near;Missing: One small drone, last seen flying near Maple Street...;B
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;B
Heads Up, the Annual Community Cleanup will;Heads up, the annual community cleanup will be this Saturday....;B
Be on the lookout for increased deer activity near;Community Alert: Be on the lookout for increased deer activity...;B
I’m Offering Math Tutoring;I’m offering math tutoring for high school students. If your...;B
If Finds a Set of Silver Hoop Earrings at;If anyone finds a set of silver hoop earrings at...;A
Notice: The Water Main on Jefferson Ave Will Be Shut...;Notice: The water main on Jefferson Ave will be shut...;B
Found a Child's Stuffed Bear in the Park...;Found a child's stuffed bear in the park near the...;A
The local Theater Group Needs Your Help!;The local theater group is looking for props and vintage...;A
Our community's annual book;Our community's annual book fair is returning! We’re currently accepting...;B
Renew Pet Licenses by the End of This Month;A reminder that pet licenses need to be renewed by...;B
Volunteers Needed for Community Garden’s Fall Planting Event Next Week;Volunteers needed for the community garden’s fall planting event next...;A
Let's ace these exams together!;Looking for a study buddy for German language exams. If...;B
The high school jazz band will be giving a free...;The high school jazz band will be giving a free...;B
