Base Generation;Rules based generation
Lost keys with cute turtle keychain near playground;"Hey neighbors! Just spotted a set of keys with a...
"
Carpool group for daily commutes to city center;"IÂ’m trying to get a carpool group together for daily...
"
For rent: Small, pet-friendly house near city park;"For rent: A small, two-bedroom house near the city park....
"
City council meeting: New transportation routes and schedules;"The city council will be discussing the new public transportation...
"
Calling all photographers: Wildlife in Action photo contest;"Calling all photographers! The nature reserve is hosting its annual...
"
Garage sale this weekend! Furniture, tools, books, and more;"Garage sale this weekend! We're downsizing and have furniture, tools,...
"
Community garden blog needs more contributors;"We need more contributors for the community garden blog. If...
"
Kindness appreciated: Help jump-starting car near grocery store;"To the person who helped me jump-start my car near...
"
Theatre seeking donations of costumes and props;"The local theatre is seeking donations of costumes and props...
"
Missing cat: Beloved Siamese Luna near Wilson Elementary;"Missing cat: Our beloved Siamese, Luna, has been missing since...
"
Free admission at local museum this weekend;"Our local museum is offering free admission this weekend to...
"
Reminder: Keep lawns trimmed and clear of debris;"A gentle reminder to all residents: Please keep your lawns...
"
Starting book club with focus on modern fiction;"I'm thinking about starting a book club here in town...
"
Community-wide yard sale next month: Join or get info;"A group of us are organizing a community-wide yard sale...
"
Volunteers needed for senior center's weekly bingo night;"We are looking for volunteers to help with the senior...
"
Attention pet owners: Increased tick activity in local parks;"Attention, pet owners! There have been reports of increased tick...
"
Found: Children's glasses near Oak Grove Park playground;"Found a pair of children's glasses near the playground at...
"
Bridge on Jefferson Road closing for repairs next week;"Notice to all: The bridge on Jefferson Road will be...
"
Community potluck dinner next Friday at recreation center;"Join us for the community potluck dinner next Friday at...
"
High school's music department car wash fundraiser this Saturday;"Our high school's music department is hosting a car wash...
"
Collecting old laptops and tablets for local schools in need;"I'm collecting old laptops and tablets to donate to local...
"
Free health screenings next Tuesday from 1 PM to 5 PM;"The community health clinic will be offering free health screenings...
"
Lost dog notice for friendly black Labrador Max;"Lost dog notice: Our family's black Labrador, Max, wandered off...
"
