Subject Line A;Subject Line B;Target
Hey neighbors! Just spotted a set of keys with a...;Keys with turtle keychain found near playground;B
Iím trying to get a carpool group together for daily...;I'm trying to get a carpool group together for daily...;A
For rent: A small, two-bedroom house near the city park....;For Rent: A Small, Two-Bedroom House Near The City Park;B
The city council will be discussing the new public transportation...;The City Council Discusses Public Transportation Routes;B
Calling all photographers! The nature reserve is hosting its annual...;Wildlife in Action;A
Garage sale this weekend! We're downsizing and have furniture, tools,...;Garage Sale This Weekend!;A
We need more contributors for the community garden blog. If...;We Need More Contributors for the Community Garden Blog;B
To the person who helped me jump-start my car near...;Thank You for the Kindness;B
The local theatre is seeking donations of costumes and props...;The local theatre is seeking donations of costumes and props...;A
Missing cat: Our beloved Siamese, Luna, has been missing since...;Missing Cat Since Tuesday;A
Our local museum is offering free admission this weekend to...;FREE Admission to Regional History Exhibit This Weekend;B
A gentle reminder to all residents: Please keep your lawns...;Keep Your Lawns Trimmed and Clear;A
I'm thinking about starting a book club here in town...;I'm thinking about starting a book club;B
A group of us are organizing a community-wide yard sale...;Community-Wide Yard Sale;B
We are looking for volunteers to help with the senior...;We Are Looking for Volunteers;A
Attention, pet owners! There have been reports of increased tick...;Increased tick activity in local parks;A
Found a pair of children's glasses near the playground at...;Found a pair of children's glasses near Oak Grove Park;B
Notice to all: The bridge on Jefferson Road will be...;Bridge Closure Notice;B
Join us for the community potluck dinner next Friday at...;Join us for the community potluck dinner next Friday;A
Our high school's music department is hosting a car wash...;Come Support Our Talented Students;B
I'm collecting old laptops and tablets to donate to local...;I'm Collecting Old Laptops and Tablets;A
The community health clinic will be offering free health screenings...;Free Health Screenings Next Tuesday;A
Lost dog notice: Our family's black Labrador, Max, wandered off...;LOST DOG NOTICE: Black Labrador with blue collar;B
We're missing a friendly orange tabby cat from our home...;Missing Friendly Orange Tabby Cat;B
Calling all amateur astronomers! Join us for a night of...;Join us for a night of stargazing at Hilltop Park...;A
The annual river cleanup is happening this weekend. We're looking...;The annual river cleanup is happening this weekend.;B
If anyone needs help setting up their new computers or...;Free Computer Setup and Troubleshooting Services;A
We are forming a new choir group in town and...;We Are Forming a New Choir Group;B
Found: A set of keys in the parking lot of...;Found: A set of keys in the parking lot of...;B
The neighborhood watch group is seeking new members. If you're...;Seeking New Members for Neighborhood Watch Group;A
Volunteers needed for the community garden spring planting day next...;Volunteers needed for the community garden spring planting day next...;A
