Subject Line A;Subject Line B
Have a green thumb? Help plant new trees at Liberty...;Tools and Guidance Provided
Clean Water Project meeting this Thursday at the community office....;Clean Water Project Meeting
Historic walking tour of Old Town every Saturday morning. Discover...;Historic walking tour of Old Town every Saturday morning
Join our monthly book club at the library this Tuesday....;Join Our Monthly Book Club
Run for a cause! Charity 5K run next Wednesday at...;Support local charities now
Neighborhood cleanup day is around the corner! Meet at Pine...;Refreshments Provided
Chess enthusiasts! Weekly chess nights start this Thursday at the...;Chess Nights This Thursday
Get ready for the Kids Talent Show! It's going down...;Get ready for the Kids Talent Show!
Update your wardrobe at the Clothing Swap Event next Friday...;Bring items you no longer need
Zumba party at Central Gym every Monday at 7 PM....;Every Monday at 7 PM
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Harvest Celebration
Learn about local bird species at our Bird Watching Club....;Bird Watching Club - this Sunday
Film night under the stars at the community park this...;Film night under the stars
Join our cityâ€™s Citizen Assembly to discuss upcoming projects and...;Discuss upcoming projects and city planning
Volunteer with us at the local animal shelter this weekend....;Help make a difference for animals in need
Urgent: Our local library is at capacity with books waiting...;Discover new titles
If anyone is interested in participating in a community reading...;Share Your Reviews
Lost: A book with a bookmark, last seen at the...;Lost: A book with a bookmark
The city literacy program is looking for volunteers to help...;Read Aloud to Seniors
My neighbor is raising money for her book club by...;Tutoring services for a good cause
Reminder: the town's annual holiday market is this Saturday from...;Support Local Vendors
Attention all book lovers! The library will be hosting a...;Attention All Book Lovers
Community Alert: the town's fire department is conducting a training...;Community Alert
Fun for all ages! The community center will be hosting...;"Free Screening of ""The Incredibles"""
Nature enthusiasts! Join us for a guided hike through our...;Guided hike this Saturday
Free Computer Classes: Basic computer skills at the community center...;Basic computer skills
Iâ€™m organizing a neighborhood potluck dinner for next Friday night....;Neighborhood Potluck Invitation
The annual town festival is scheduled for this weekend from...;Sign up at town hall
Local artists! Join us for a painting class series starting...;All skill levels welcome
The annual Fall Festival will be held on October 15th...;Enjoy Live Music Food Trucks and Activities
Attention dog owners: the local animal shelter is hosting a...;Attention dog owners
The school's PTA is organizing a fundraiser bake sale next...;Support Our Students
Join us for a free outdoor yoga class on Sunday...;Join us for yoga
The local library is hosting an author reading series, featuring...;Best-Selling Authors
Lost and found: Missing a bookshelf or a set of...;Lost and found: Missing a bookshelf or a set of...
There's a community effort to restore the old park playground...;Community Effort Needed for Park Playground Restoration
Join us for a nature photography walk in the nearby...;Join us for a nature photography walk in the nearby...
I'm organizing a series of art classes featuring local artists...;Watercolor classes this Sunday
Cleaning out your closet? Consider donating unwanted clothes to the...;Consider Donating Unwanted Clothes to the Annual Community Charity Drive
Looking for a workout buddy or someone to play chess...;Looking for a workout buddy or someone to play chess...
Community Clean-Up: Join us for a day of cleaning up...;Community Clean-Up
Local Artist Showcase: Come out and support local artists by...;Art show at town square
Senior Citizen Appreciation Day: Show your appreciation for our senior...;Senior Citizen Appreciation Day
Community Garden Project: Help us grow a greener community by...;Help Us Grow a Greener Community
Charity Run/Walk: Join forces with local charities for a fun...;Join forces with local charities for a fun run/walk event
Calling all book lovers! The library is hosting a used...;Used bookstore sale this weekend
Get ready to groove! Our community center will be hosting...;Tickets available at the door or online
Attention shoppers! The annual holiday market is coming up this...;Come support our talented neighbors
Help us give back to our community! Our church will...;Drop Off Donations
Calling all car enthusiasts! The local classic car club is...;Support local youth programs
Local Farmers' Market: Fresh produce, baked goods, and handmade crafts...;Fresh produce, baked goods, and handmade crafts await you at...
Volunteer Opportunity: Help out at the local animal shelter by...;Volunteer Opportunity
Community Potluck Dinner: Join us for an evening of food,...;Potluck Dinner Invitation
Yoga Classes: Get flexible and relaxed with our weekly yoga...;Weekly yoga sessions every Tuesday
Book Club Meeting: Discuss the latest bestseller with fellow book...;Refreshments provided!
Join us for our annual charity walk/run this Saturday at...;Join us for our charity walk/run this Saturday at City...
