A;B
Have a green thumb? Help plant new trees at Liberty...;Craft Fair next weekend at Oakwood School!
Clean Water Project meeting this Thursday at the community office....;Have a green thumb?
Historic walking tour of Old Town every Saturday morning. Discover...;Clean Water Project this Thursday
Join our monthly book club at the library this Tuesday....;Historic Walking Tour of Old Town
Run for a cause! Charity 5K run next Wednesday at...;"""The Great Gatsby"""
Neighborhood cleanup day is around the corner! Meet at Pine...;Run for a cause! Charity 5K run next Wednesday at...
Chess enthusiasts! Weekly chess nights start this Thursday at the...;Neighborhood Cleanup Day This Sunday
Get ready for the Kids Talent Show! It's going down...;Weekly Chess Nights Start This Thursday
Update your wardrobe at the Clothing Swap Event next Friday...;Get Ready for the Kids Talent Show!
Zumba party at Central Gym every Monday at 7 PM....;Update Your Wardrobe
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Zumba party every Monday at 7 PM
Learn about local bird species at our Bird Watching Club....;Harvest Celebration next Saturday.
Film night under the stars at the community park this...;Learn about Local Bird Species
Join our city’s Citizen Assembly to discuss upcoming projects and...;Film Night Under the Stars This Friday
Volunteer with us at the local animal shelter this weekend....;Your Voice Matters!
Urgent: Our local library is at capacity with books waiting...;Help Make a Difference for Animals in Need
If anyone is interested in participating in a community reading...;Urgent: Our local library is at capacity with books waiting...
Lost: A book with a bookmark, last seen at the...;If anyone is interested in participating in a community reading...
The city literacy program is looking for volunteers to help...;Lost: A book with a bookmark, last seen at the...
My neighbor is raising money for her book club by...;The City Literacy Program
Reminder: the town's annual holiday market is this Saturday from...;If You Need Help With Reading Skills
Attention all book lovers! The library will be hosting a...;The town's annual holiday market
Community Alert: the town's fire department is conducting a training...;Used Bookstore Sale Next Friday
Fun for all ages! The community center will be hosting...;Community Alert: Fire Department Training Exercise
Nature enthusiasts! Join us for a guided hike through our...;Fun for all ages!
Free Computer Classes: Basic computer skills at the community center...;Join us for a guided hike through scenic trails this...
I’m organizing a neighborhood potluck dinner for next Friday night....;Free Computer Classes
The annual town festival is scheduled for this weekend from...;I'm Organizing a Neighborhood Potluck Dinner
Local artists! Join us for a painting class series starting...;Annual Town Festival This Weekend
The annual Fall Festival will be held on October 15th...;Local Artists Join Painting Class Series
Attention dog owners: the local animal shelter is hosting a...;Enjoy Live Music, Food Trucks
The school's PTA is organizing a fundraiser bake sale next...;Attention Dog Owners
Join us for a free outdoor yoga class on Sunday...;Fundraiser Bake Sale Next Friday
The local library is hosting an author reading series, featuring...;Free Outdoor Yoga Class on Sunday at 9:30 AM
Lost and found: Missing a bookshelf or a set of...;Author Reading Series
There's a community effort to restore the old park playground...;LOST AND FOUND: Missing a bookshelf or a set of...
Join us for a nature photography walk in the nearby...;There's a community effort to restore the old park playground
I'm organizing a series of art classes featuring local artists...;Join Us for a Nature Photography Walk in the Nearby...
Cleaning out your closet? Consider donating unwanted clothes to the...;I'm organizing a series of art classes
Looking for a workout buddy or someone to play chess...;Consider Donating Unwanted Clothes
Community Clean-Up: Join us for a day of cleaning up...;Looking for a workout buddy or someone to play chess...
Local Artist Showcase: Come out and support local artists by...;Join us for a day of cleaning up our community!
Senior Citizen Appreciation Day: Show your appreciation for our senior...;Local Artist Showcase
Community Garden Project: Help us grow a greener community by...;Senior Citizen Appreciation Day
Charity Run/Walk: Join forces with local charities for a fun...;Help Us Grow a Greener Community
Calling all book lovers! The library is hosting a used...;Join forces with local charities for a fun run/walk event
Get ready to groove! Our community center will be hosting...;Used Bookstore Sale This Weekend
Attention shoppers! The annual holiday market is coming up this...;Get Ready to Groove!
Help us give back to our community! Our church will...;Annual Holiday Market This Weekend
Calling all car enthusiasts! The local classic car club is...;Help Us Give Back To Our Community!
Local Farmers' Market: Fresh produce, baked goods, and handmade crafts...;Calling all car enthusiasts! The local classic car club is...
Volunteer Opportunity: Help out at the local animal shelter by...;Fresh produce, baked goods, and handmade crafts await you at...
Community Potluck Dinner: Join us for an evening of food,...;Help out at the local animal shelter
Yoga Classes: Get flexible and relaxed with our weekly yoga...;Join us for an evening of food, fun, and fellowship...
Book Club Meeting: Discuss the latest bestseller with fellow book...;Get Flexible and Relaxed with Our Weekly Yoga Sessions
Join us for our annual charity walk/run this Saturday at...;Book Club Meeting
The community center is offering free dance classes every Wednesday...;Join us for our annual charity walk/run this Saturday at...
Get ready to sweat with our new Zumba class on...;The Community Center Offers Free Dance Classes
Our monthly meditation session will take place this Thursday at...;Get Ready to Sweat with Our New Zumba Class
The local park is hosting a free outdoor movie night...;This Thursday at the library from 6:30-8 PM.
Lost: A small drone with blue markings, last seen near...;Free Outdoor Movie Night in Local Park
The community center is hosting a free yoga class for...;Lost: A small drone with blue markings near Oakwood Park
Local artist Emma Taylor's latest exhibit opens tonight at the...;This Thursday at 10 am: Free Yoga Class for Seniors
The school's annual book fair is happening next week during...;Tonight at the town hall gallery from 6-8 pm.
