instruction,input,output,text
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: Hey neighbors! Just spotted a set of keys with a cute turtle keychain near the playground at Parkside Ave. If they're yours or you know whose they might be, please message me here or pick them up at my porch at 153 Parkside Ave. Let's get these keys back to their owner! Subject Line: Hey neighbors! Just spotted a set of keys with a...",No,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
No"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: Hey neighbors! Just spotted a set of keys with a cute turtle keychain near the playground at Parkside Ave. If they're yours or you know whose they might be, please message me here or pick them up at my porch at 153 Parkside Ave. Let's get these keys back to their owner! Subject Line: Keys with turtle keychain found near playground",Yes,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
Yes"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: I'm trying to get a carpool group together for daily commutes to the city center. If anyone is interested in joining to save on gas and reduce traffic, please reach out so we can coordinate our schedules. Subject Line: I'm trying to get a carpool group together for daily...",Yes,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
Yes"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: I'm trying to get a carpool group together for daily commutes to the city center. If anyone is interested in joining to save on gas and reduce traffic, please reach out so we can coordinate our schedules. Subject Line: I'm trying to get a carpool group together for daily...",No,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
No"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: For rent: A small, two-bedroom house near the city park. Pet-friendly, with a fenced yard. Available starting next month. Contact me for details and to schedule a viewing. Subject Line: For rent: A small, two-bedroom house near the city park....",No,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
No"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: For rent: A small, two-bedroom house near the city park. Pet-friendly, with a fenced yard. Available starting next month. Contact me for details and to schedule a viewing. Subject Line: For Rent: A Small, Two-Bedroom House Near The City Park",Yes,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
Yes"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,Post: The city council will be discussing the new public transportation routes and schedules at their meeting this Thursday. All residents are welcome to attend and provide feedback. Subject Line: The city council will be discussing the new public transportation...,No,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
No"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,Post: The city council will be discussing the new public transportation routes and schedules at their meeting this Thursday. All residents are welcome to attend and provide feedback. Subject Line: The City Council Discusses Public Transportation Routes,Yes,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
Yes"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: Calling all photographers! The nature reserve is hosting its annual photo contest. This year's theme is ""Wildlife in Action."" Submit your best shots for a chance to win prizes and be featured in our calendar. Subject Line: Calling all photographers! The nature reserve is hosting its annual...",Yes,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
Yes"
Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only,"Post: Calling all photographers! The nature reserve is hosting its annual photo contest. This year's theme is ""Wildlife in Action."" Submit your best shots for a chance to win prizes and be featured in our calendar. Subject Line: Wildlife in Action",No,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request

### Instruction: Given a Post and a possible Subject Line for an E-Mail: Determine if the Subject Line is Engaging. Answer Yes or No only
###Response:
No"
